target_id,source_id,ra,dec,RUWE,non_single_star
2MASS J16210688+3041325,1319039230320154368,245.2795348,30.6916402,1.1124547,0
2MASS J16210714+3134367,1319243773843954304,245.2800476,31.57704658,1.0321832,0
2MASS J16210715+2552117,1303449834769887744,245.2798695,25.86985575,0.9669425,0
2MASS J16210741+2553060,1303451522694935808,245.2809159,25.8850849,26.759365,0
2MASS J16210787+3205492,1319461477146253696,245.2827518,32.09695132,0.9059835,0
2MASS J16210830+3155207,1319270162123113216,245.2844547,31.9225266,0.87162906,0
2MASS J16210896+2920517,1317773211401939584,245.2869829,29.34780117,0.9682639,0
2MASS J16210923+2539227,1303391633670077952,245.2885964,25.65617287,1.1369449,0
2MASS J16210952+2931242,1318153676783949568,245.2896351,29.52348079,0.92290705,0
2MASS J16210952+2931242,1318153676783949568,245.2896351,29.52348079,0.92290705,0
2MASS J16211033+2855524,1317569286354121088,245.2929619,28.9311613,12.804659,3
2MASS J16211086+2515010,1303275738272579712,245.295323,25.25022383,2.3578155,3
2MASS J16211096+2630456,1303508388061306368,245.295688,26.5126098,1.0532362,0
2MASS J16211096+2630456,1303508388061306368,245.295688,26.5126098,1.0532362,0
2MASS J16211208+3103088,1319153923127964160,245.3003171,31.05248206,2.348206,1
2MASS J16211238+3053175,1319138633044374016,245.3015622,30.8881685,0.89202434,0
2MASS J16211282+2823165,1317474419116407680,245.3034463,28.38785994,1.0137883,0
2MASS J16211285+3022467,1318274416904763264,245.3035017,30.37963306,0.9675034,0
2MASS J16211285+3022467,1318274416904763264,245.3035017,30.37963306,0.9675034,0
2MASS J16211390+2633094,1303697637203018624,245.3079337,26.55265437,1.0153502,0
2MASS J16211390+2633094,1303697637203018624,245.3079337,26.55265437,1.0153502,0
2MASS J16211425+3018291,1318272870716454528,245.3093776,30.30806559,1.4273556,0
2MASS J16211558+2722320,1305309456826990464,245.3149416,27.37631927,19.584963,3
2MASS J16211558+2722320,1305309456826990464,245.3149416,27.37631927,19.584963,3
2MASS J16211572+2958089,1318228924611028096,245.315404,29.96924501,0.9410794,0
2MASS J16211572+2958089,1318228924611028096,245.315404,29.96924501,0.9410794,0
2MASS J16211613+2850252,1317555435083537664,245.3172225,28.84024716,0.95561576,0
2MASS J16211712+2548548,1303402456987746688,245.3213782,25.81533278,1.0183433,0
2MASS J16211712+2548548,1303402456987746688,245.3213782,25.81533278,1.0183433,0
2MASS J16211712+2548548,1303402456987746688,245.3213782,25.81533278,1.0183433,0
2MASS J16211790+2701380,1305227229675919616,245.3245704,27.02737364,0.95098567,0
2MASS J16211796+2523250,1303374419441982464,245.3249138,25.3902098,,0
